Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C6",0805,4,1u,
"C10, C11, C12, C13, C14, C15, C16, C17, C19, C20",0603,10,100n,
"C18, C21",0603,2,-,
"C3, C5",0603,2,100nF,
"C7, C9",0603,2,1u5,
C8,0603,1,10n,
D1,D_SMA,1,SK36A-LTP,
"D2, D4, D8",D_SOD-523,3,D5V0L1B2T-7,
D3,D_SOD-523,1,LBD52A24L01,
D5,D_SOD-323_HandSoldering,1,NSVRB751V40T1G,
F1,1812,1,500mA,
"J1, J2, J3",SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm_Relief,3,BS1,
J4,Wire_StrainRelief,1,Conn_01x02,
J5,Wire_StrainRelief,1,SDC,
K2,IM23TS,1,TE AXICOM IM07DTS,
Q1,SOT-23,1,BS170F,
"R1, R10, R13, R14, R15, R2, R20, R4, R7, R8, R9",0603,11,10k,
"R11, R12, R22, R23, R3",0603,5,1k,
"R16, R17, R19",0603,3,100K,
R18,0603,1,50k,
R5,0603,1,4k,
R6,0603,1,10M,
"RV1, RV2, RV3",Potentiometer_Bourns_3296W_Vertical,3,20k,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,16,TestPoint,
U1,TO-252-3_TabPin2,1,MC78M12CDTG,
"U10, U13, U4, U7",TSSOP-8_3x3mm_P0.65mm,4,LM393B,
"U12, U5",SC-74A-5_1.55x2.9mm_P0.95mm,2,74AHC1G08,
U2,SOT-223-3_TabPin2,1,LM1117IMP-5.0,
"U3, U6",TSOP-6_1.65x3.05mm_P0.95mm,2,74HC2G14-Q100,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555DR,
U9,SOT-23-5,1,74HC1G32GV,
