Designator,Mid X,Mid Y,Rotation,Layer
C1,21.825,13.3,0.0,bottom
C10,33.525,11.8,180.0,top
C11,21.7,22.525,90.0,top
C12,33.075,8.4,180.0,top
C13,15.8,9.375,90.0,top
C14,26.7,12.394046,270.0,bottom
C15,23.025,16.2,0.0,top
C16,22.075,18.6,0.0,top
C17,28.875,19.0,180.0,top
C18,33.4,12.425,90.0,bottom
C19,31.5,24.775,90.0,top
C2,21.825,10.29,0.0,bottom
C20,41.425,16.8,180.0,top
C21,40.8,24.875,270.0,top
C3,9.895,21.74,0.0,bottom
C4,21.825,7.28,0.0,bottom
C5,9.895,19.23,0.0,bottom
C6,21.825,4.27,0.0,bottom
C7,38.725,24.0,180.0,top
C8,31.7,12.394046,270.0,bottom
C9,30.0,12.394046,270.0,bottom
D1,38.3,1.6,90.0,bottom
D2,-0.5,4.0,0.0,top
D3,10.8875,16.3,90.0,bottom
D4,-2.7,11.1,270.0,top
D5,34.2,17.369046,90.0,bottom
D8,-2.7,15.8,90.0,top
F1,16.075,4.2,180.0,bottom
K2,45.86,4.5,90.0,top
Q1,43.05,12.1125,270.0,bottom
R1,11.6875,18.8,0.0,top
R10,32.025,1.1,0.0,top
R11,18.375,8.6,0.0,top
R12,32.025,2.8,0.0,top
R13,20.525,6.9,180.0,top
R14,25.9,5.225,270.0,top
R15,36.8,5.975,90.0,top
R16,-0.4875,2.0,0.0,top
R17,-2.6,7.5125,90.0,top
R18,38.725,25.7,0.0,top
R19,38.725,22.3,180.0,top
R2,11.6875,17.0,180.0,top
R20,39.725,11.2,0.0,top
R22,40.175,20.5,0.0,top
R23,40.125,18.7,180.0,top
R3,16.1125,15.8,0.0,top
R4,42.925,25.85,180.0,top
R5,16.1125,14.2,180.0,top
R6,28.3,12.394046,270.0,bottom
R7,23.5,22.695,270.0,top
R8,10.3,6.025,270.0,top
R9,18.375,10.4,0.0,top
RV1,14.6,0.9,0.0,top
RV2,25.1,0.9,0.0,top
RV3,15.14,23.8,0.0,top
U1,17.135,18.825,0.0,bottom
U10,44.45,23.175,270.0,top
U12,33.05,19.95,0.0,top
U13,17.25,19.025,270.0,top
U2,14.675,10.605,180.0,bottom
U3,28.96,24.65,0.0,top
U4,15.25,5.725,270.0,top
U5,38.85,14.15,0.0,top
U6,23.24,13.7,180.0,top
U7,31.75,5.725,270.0,top
U8,30.235,19.044046,180.0,bottom
U9,32.9625,14.25,180.0,top
